Datetime,Subsistema,Demanda Maxima Instantanea (MW),ENA Bruta (% MLT),EAR MAX (MWmes),Carga de Energia (MWmed),ENA Bruta (MWmed),Demanda Maxima horaria (MWh_h),Geracao de Energia - dia - (GWh),Carga de Energia (GWh),EAR (MWmes),ENA armazenavel (MWmed),EAR (GWh),Geracao de Energia - dia - (MWmed) ,ENA armazenavel (% MLT),EAR (%)
2018-05-29,Sudeste/Centro-Oeste,39505.0,71.85179901,202691.9375,31843.30516667,28402.70507813,39262.095,733.8847519999999,764.239324,86527.40625,25555.08984375,63208.27026563,30578.53133286,64.64810181,42.68909836
2018-05-30,Sudeste/Centro-Oeste,39376.578,71.14520264,202691.9375,31368.13654167,28123.36328125,39203.975,738.265115,752.835277,86409.5078125,25392.08007813,63122.14545703,30761.04645787,64.23570251,42.63100052
2018-05-31,Sudeste/Centro-Oeste,38178.05,70.02809906,202691.9375,28836.16970833,27681.79296875,37542.97,706.75142752,692.068073,86266.8203125,24022.24414063,63017.91223828,29447.97614523,60.770401,42.56060028
2018-06-01,Sudeste/Centro-Oeste,39847.898,84.17720032,202691.9375,31340.31316667,27185.91015625,39482.645,799.366762,752.167516,86039.546875,25555.93945313,62851.88899219,33306.94841622,79.13020325,42.44839859
2018-06-02,Sudeste/Centro-Oeste,39856.16,83.16439819,202691.9375,30627.53579167,26858.83007813,39574.282,791.474596,735.060859,85923.25,25977.7734375,62766.934125,32978.10816627,80.43640137,42.39110184
2018-06-03,Sudeste/Centro-Oeste,37639.71,82.75939941,202691.9375,28364.390875,26728.00976563,36732.915,728.108067,680.745381,85815.6953125,24350.22265625,62688.36542578,30337.83612457,75.39689636,42.33800125
2018-06-04,Sudeste/Centro-Oeste,40163.168,82.21949768,202691.9375,33075.47366667,26553.64257813,39808.653,806.286054,793.811368,85596.734375,25229.64453125,62528.41446094,33595.25224951,78.11990356,42.22999954
2018-06-05,Sudeste/Centro-Oeste,40970.5,81.33239746,202691.9375,34110.63445833,26267.14453125,40661.098,819.817042,818.655227,85484.046875,25531.05273438,62446.09624219,34159.04341621,79.05319977,42.17440033
2018-06-06,Sudeste/Centro-Oeste,41217.539,81.25599670000001,202691.9375,34777.73254167,26242.4921875,40867.629,839.7355369999999,834.665581,85330.7421875,25550.99414063,62334.10716797,34988.98070784,79.11489868,42.09870148
2018-06-07,Sudeste/Centro-Oeste,41303.109,82.00630188,202691.9375,35152.94241667,26484.78320313,41091.898,836.238627,843.670618,85223.921875,25619.75195313,62256.07492969,34843.27612453,79.32779694,42.04600143
2018-06-08,Sudeste/Centro-Oeste,41345.602,82.7786026,202691.9375,35040.90020833,26734.23046875,41033.565,874.4408869999999,840.981605,85086.5,25698.36328125,62155.68825,36435.03695786,79.57119751,41.97819901
2018-06-09,Sudeste/Centro-Oeste,41141.902,82.75450134,202691.9375,32546.59008333,26726.42578125,40728.416,842.9005960000001,781.118162,84985.96875,24967.41992188,62082.25017188,35120.85816619,77.30799866,41.92860031
2018-06-10,Sudeste/Centro-Oeste,38944.023,81.93679809999999,202691.9375,29559.30058333,26462.34179688,38267.203,745.449139,709.423214,84934.203125,23276.86523438,62044.43538281,31060.38079122,72.0734024,41.90309906
